league,league_country,season,team,coach_name,coach_nationality,domestic_coach,dominant_formation,back_four_rate,avg_age,source_notes
Belgian Pro League,Belgium,2019-2020,Club Brugge,Philippe Clement,,,3-5-2,0.4827586206896552,26.11686078370109,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Belgian Pro League,Belgium,2020-2021,Club Brugge,Philippe Clement,,,4-3-3 Attacking,0.8235294117647058,26.424966976749257,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Belgian Pro League,Belgium,2021-2022,Club Brugge,Philippe Clement,,,3-5-2,0.5,27.32452263928518,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Belgian Pro League,Belgium,2022-2023,Royal Antwerp,Mark van Bommel,,,4-2-3-1,0.9411764705882353,25.473216747409094,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Belgian Pro League,Belgium,2023-2024,Club Brugge,Ronny Deila,,,4-2-3-1,0.9666666666666667,26.034081720545487,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Bundesliga,Germany,2019-2020,Bayern Munich,Hansi Flick,,,4-2-3-1,0.9705882352941176,27.13141243399518,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Bundesliga,Germany,2020-2021,Bayern Munich,Hansi Flick,,,4-2-3-1,1.0,27.7394132367511,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Bundesliga,Germany,2021-2022,Bayern Munich,Julian Nagelsmann,,,4-2-3-1,0.7058823529411765,27.240334558614116,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Bundesliga,Germany,2022-2023,Bayern Munich,Julian Nagelsmann,,,4-2-3-1,0.8235294117647058,27.064268829146805,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Bundesliga,Germany,2023-2024,Bayer Leverkusen,Xabi Alonso,,,3-4-2-1,0.029411764705882353,26.68588999887271,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
